Period,X1,X2,X3,X4,X5,CR,CLTL,NIS,TETA,ROA,ROE,Indication
2016,0.117508133,0.003109332,0.04200022,0.023091577,0.040515322,5.900007702,0.024860452,-0.0893917,0.035366933,-0.003621734,-0.102404511,Insolvent
2017,0.052232485,0.002195128,0.036297922,0.0544956,0.044114392,1.382831183,0.141378012,0.035656594,0.034946227,0.001572969,0.045011124,Insolvent
2018,0.021552799,0.001184746,0.033859269,0.030093375,0.038521813,1.118491078,0.188903335,0.022902667,0.037106159,0.000882252,0.023776437,Insolvent
2019,0.085464121,0.000495267,0.038240488,0.010586334,0.039565902,5.865554801,0.018199309,0.011684237,0.034846129,0.000462297,0.013266821,Insolvent
2015,0.237921927,0.007150566,0.059275922,0.076867448,0.076021098,11.25075733,0.025469245,0.123088933,0.088697733,0.009357356,0.105497125,Healthy
2016,0.199542542,0.007340915,0.051313979,0.070247235,0.066299034,10.41496337,0.022973984,0.147271858,0.077469887,0.009763982,0.126035835,Healthy
2017,0.165128677,0.005117951,0.046635788,0.131518629,0.062714688,8.240667166,0.024409713,0.103308141,0.065711005,0.006478938,0.098597456,Healthy
2018,0.183942619,0.003734466,0.051134633,0.101188139,0.069900463,9.113484676,0.024148105,0.072385188,0.061159325,0.005059758,0.082730771,Healthy
2019,0.20381925,0.003553171,0.055323557,0.086466356,0.075556512,8.614075108,0.028522693,0.081699032,0.061493014,0.006172894,0.100383663,Healthy
2015,0.244114241,0.007830431,0.061741811,0.058089748,0.085254767,12.55855817,0.022757637,0.133338945,0.071969413,0.011367781,0.157952945,Healthy
2016,0.198973113,0.006502425,0.052092438,0.063656738,0.074473868,10.34289908,0.022711703,0.135035316,0.062301918,0.010056602,0.161417217,Healthy
2017,0.220672447,0.002848782,0.043756379,0.06857372,0.0673527,10.51547884,0.024445846,0.078699868,0.051336073,0.005300649,0.103253878,Healthy
2018,0.187411937,0.002943584,0.057706733,0.042931243,0.081564125,10.61683099,0.020542939,0.063873758,0.05135727,0.005209807,0.101442449,Healthy
2019,0.213075427,0.002941117,0.05801615,0.037552624,0.080745131,12.43101436,0.019624337,0.05473871,0.050153135,0.004419884,0.088127777,Healthy
2015,0.140777082,0.011322349,0.067988215,0.068668637,0.068253032,20.42755743,0.008090853,0.172489505,0.104388966,0.011772932,0.112779464,Healthy
2016,0.157115249,0.010956098,0.05209148,0.064534658,0.058164641,12.93000401,0.014487086,0.143473176,0.090931264,0.008345066,0.09177334,Healthy
2017,0.148899161,0.008006173,0.042858828,0.06517055,0.051285478,12.49373585,0.014022495,0.067160429,0.076140899,0.003444355,0.045236591,Healthy
2018,0.158438563,0.007594939,0.055693031,0.046450547,0.062839008,11.50879357,0.016276537,0.103145619,0.073712057,0.006481568,0.087930911,Healthy
2019,0.142559593,0.008153832,0.058038608,0.039718773,0.062178763,11.07551506,0.015250505,0.095531733,0.072220089,0.005940045,0.082249207,Healthy
2015,0.145509078,0.008667337,0.070973244,0.050558015,0.079813597,24.72218483,0.006716285,0.15116203,0.086715125,0.012064785,0.139131269,Healthy
2016,0.114298556,0.005450142,0.052779166,0.064134923,0.067098181,14.22103203,0.009420393,0.106146507,0.082288132,0.007122238,0.086552427,Healthy
2017,0.126092298,0.00508985,0.05016128,0.076311451,0.060173125,7.601139332,0.020679989,0.117140345,0.076324663,0.007048701,0.092351545,Healthy
2018,0.114652921,0.004740754,0.059523479,0.05212367,0.071974731,8.4770327,0.016580067,0.088483136,0.075153672,0.00636855,0.084740369,Healthy
2019,0.113025992,0.004526859,0.065150825,0.041471628,0.077520333,8.967430603,0.015306845,0.087462013,0.07322488,0.006780084,0.092592632,Healthy
2015,0.181362967,0.009712195,0.063863642,0.005987098,0.076944948,11.20197087,0.018794594,0.110062927,0.054129734,0.008468786,0.156453498,Healthy
2016,0.260979665,0.011276681,0.050817713,0.060262029,0.062531644,13.29999174,0.022439461,0.152384028,0.054439271,0.009528824,0.175035846,Healthy
2017,0.138602832,0.008629789,0.043997904,0.103798517,0.059728362,9.076204421,0.018097417,0.121472735,0.051694616,0.007255367,0.140350544,Healthy
2018,0.151542645,0.007696508,0.050075078,0.072953543,0.066906073,8.566117199,0.02109755,0.106701878,0.050642532,0.007139004,0.140968536,Healthy
2019,0.203169701,0.008594431,0.05232051,0.059779876,0.066641171,13.18232791,0.017583648,0.103090723,0.051538571,0.006870087,0.133299903,Healthy
2015,0.037664694,0.008926268,0.063915595,0.08014797,0.076688974,1.25,0.165081161,0.178280049,0.087365412,0.013672114,0.156493441,Insolvent
2016,0.204148178,0.005166719,0.045069476,0.074041763,0.063433476,36.29736392,0.006275702,0.125753151,0.078403343,0.007976959,0.101742594,Healthy
2017,0.229250794,0.004794291,0.040574163,0.073598889,0.058035392,51.78106607,0.004873049,0.128438232,0.073579241,0.007453963,0.101305247,Healthy
2018,0.182756799,0.005894307,0.046453126,0.049610256,0.063369601,40.17196675,0.005020516,0.104166532,0.070713057,0.006600992,0.093348978,Healthy
2019,0.167515255,0.011329832,0.051448649,0.037127711,0.069712769,32.9940895,0.005655586,0.091196114,0.074221647,0.006357534,0.085656057,Healthy
2015,0.037664694,0.008926268,0.027177546,0.0340196,0.031936333,1.25,0.165081161,0.161175131,0.087365412,0.005147343,0.058917396,Insolvent
